subject,lambda_theta,Pi_kPa,Pi_mmHg
1,1.052462311557789,3.9606352318419558,29.70721983265841
1,1.0533668341708542,4.007345734329301,30.057577561825042
1,1.0542713567839195,4.054364358815839,30.410246397021258
1,1.055175879396985,4.10169912856986,30.76528651773366
1,1.0560804020100503,4.149358275862315,31.122759671098393
1,1.0569849246231156,4.197350248410045,31.48272922022935
1,1.0578894472361808,4.245683716029222,31.845260194123103
1,1.0587939698492461,4.294367577506697,32.21041933919828
1,1.0596984924623116,4.343410967697049,32.57827517252784
1,1.060603015075377,4.392823264853488,32.94889803682537
1,1.0615075376884422,4.442614098201134,33.32236015724939
1,1.0624120603015075,4.492793355761365,33.69873570009081
1,1.0633165829145728,4.543371192436415,34.07810083341242
1,1.0642211055276383,4.594358038363788,34.460533789712194
1,1.0651256281407036,4.6457646075501335,34.84611493068268
1,1.0660301507537688,4.697601906795091,35.234926814145396
1,1.0669346733668341,4.749881244915517,35.62705426323823
1,1.0678391959798994,4.802614242281248,36.02258443793957
1,1.0687437185929647,4.8558128406738925,36.42160690901541
1,1.0696482412060302,4.909489313480583,36.824213734478725
1,1.0705527638190955,4.963656276235018,37.2304995386539
1,1.0714572864321608,5.018326697518916,37.64056159394433
1,1.072361809045226,5.073513910237002,38.05449990540186
1,1.0732663316582913,5.129231623279751,38.47241729820457
1,1.0741708542713568,5.185493933588146,38.894419508149916
1,1.0750753768844221,5.242315338635736,39.32061527527797
1,1.0759798994974874,5.29971074934364,39.75111644074189
1,1.0768844221105527,5.357695503444655,40.18603804704705
1,1.077788944723618,5.416285379313709,40.62549844178799
1,1.0786934673366835,5.475496610282069,41.069619385013894
1,1.0795979899497488,5.535345899453842,41.51852616036147
1,1.080502512562814,5.595850435043878,41.97234769009881
1,1.0814070351758793,5.657027906256883,42.4312166542285
1,1.0823115577889446,5.71889651972853,42.89526961380621
1,1.0832160804020101,5.781475016550147,43.364647138636364
1,1.0841206030150754,5.844782689899294,43.83949393951244
1,1.0850251256281407,5.9088394032998295,44.31995900517877
1,1.085929648241206,5.973665609535545,44.8061957441945
1,1.0868341708542713,6.039282370242846,45.2983621318909
1,1.0877386934673368,6.1057113762088635,45.796620862619726
1,1.088643216080402,6.172974968402308,46.301139507497716
1,1.0895477386934673,6.241096159766091,46.81209067786473
1,1.0904522613065326,6.310098657800908,47.329652194674644
1,1.091356783919598,6.380006887971522,47.85400726405695
1,1.0922613065326634,6.450846017967545,48.385344659287725
1,1.0931658291457287,6.522641982852812,48.923858909425455
1,1.094070351758794,6.5954215111384284,49.469750494875115
1,1.0949748743718593,6.669212151815913,50.02322605015347
1,1.0958793969849245,6.74404230238895,50.584498574144604
1,1.0967839195979898,6.819941237943254,51.15378764814192
1,1.0976884422110553,6.896939141296327,51.73131966199006
1,1.0985929648241206,6.975067134270112,52.31732804864908
1,1.099497487437186,7.054357310131978,52.91205352752212
1,1.1004020100502512,7.134842767250814,53.515744356896796
1,1.1013065326633165,7.216557644017439,54.12865659587008
1,1.102211055276382,7.299537155080664,54.75105437614113
1,1.1031155778894473,7.38381762895215,55.383210184071075
1,1.1040201005025125,7.469436547036147,56.02540515343026
1,1.1049246231155778,7.556432584141909,56.67792936926649
1,1.105829145728643,7.64484565053975,57.34108218335146
1,1.1067336683417084,7.734716935624034,58.015172541680336
1,1.107638190954774,7.826088953249122,58.700519324519426
1,1.1085427135678392,7.9190055888073045,59.39745169951984
1,1.1094472361809045,8.013512148121052,60.10630948843972
1,1.1103517587939697,8.109655408224432,60.827443548036335
1,1.111256281407035,8.207483670112488,61.561216165719124
1,1.1121608040201005,8.307046813540692,62.30800147057958
1,1.1130653266331658,8.408396353959905,63.06818586043874
1,1.113969849246231,8.511585501676828,63.84216844558725
1,1.1148743718592964,8.616669223332993,64.63036150991591
1,1.1157788944723617,8.723704305800288,65.43319099017175
1,1.1166834170854272,8.832749422595107,66.25109697410531
1,1.1175879396984925,8.943865202917742,67.08453421830887
1,1.1184924623115577,9.057114303428765,67.93397268658386
1,1.119396984924623,9.17256148287867,68.7998981097094
1,1.1203015075376883,9.290273679712822,69.68281256752758
1,1.1212060301507538,9.410320092779342,70.58323509430258
1,1.122110552763819,9.532772265272564,71.5017023083487
1,1.1230150753768844,9.657704172052311,72.438769066979
1,1.1239195979899497,9.78519231048362,73.39500914785964
1,1.124824120603015,9.915315794950427,74.37101595792107
1,1.1257286432160805,10.048156455201765,75.36740327101546
1,1.1266331658291457,10.183798938697766,76.38480599557523
1,1.127537688442211,10.322330817130185,77.42388097358301
1,1.1284422110552763,10.46384269729942,78.48530781221797
1,1.1293467336683416,10.60842833654004,79.56978974961895
1,1.130251256281407,10.756184762894174,80.6780545562593
1,1.1311557788944724,10.90721240024269,81.81085547350833
1,1.1320603015075377,11.061615198613476,82.9689721910242
1,1.132964824120603,11.21950076989601,84.15321186469741
1,1.1338693467336682,11.38098052920317,85.36441017695188
1,1.1347738693467337,11.546169842131873,86.60343244129116
1,1.135678391959799,11.715188178186065,87.87117475306596
1,1.1365829145728643,11.88815927063925,89.16856518854216
1,1.1374874371859296,12.06521128312484,90.49656505443184
1,1.1383919597989949,12.246476983258614,91.85617019016922
1,1.1392964824120602,12.432093923610713,93.24841232531298
1,1.1402010050251257,12.62220463036048,94.67436049457442
1,1.141105527638191,12.81695679998286,96.13512251308744
1,1.1420100502512562,13.01650350433363,97.6318465146749
1,1.1429145728643215,13.221003404515466,99.16572255597679
1,1.1438190954773868,13.430620973928942,100.7379842894709
1,1.144723618090452,13.645526730929163,102.3499107085419
1,1.1456281407035176,13.8658974815316,104.00282796792555
1,1.1465326633165829,14.091916572630595,105.6981112830045
1,1.1474371859296482,14.323774156218244,107.43718691161368
1,1.1483417085427134,14.56166746511419,109.2215342221848
1,1.1492462311557787,14.805801100742412,111.05268785225054
1,1.1501507537688442,15.056387333518236,112.93223996153354
1,1.1510552763819095,15.313646416435322,114.8618425840431
1,1.1519597989949748,15.577806912473768,116.843210083839
1,1.15286432160804,15.84910603647874,118.87812171933317
1,1.1537688442211054,16.127790012193973,120.96842432126235
1,1.1546733668341709,16.414114445167336,123.11603508971102
1,1.1555778894472362,16.708344712281786,125.322944515835
1,1.1564824120603014,17.010756368704385,127.59121943423148
1,1.1573869346733667,17.321635573083086,129.92300621217845
1,1.158291457286432,17.64127953186626,132.3205340823067
1,1.1591959798994975,17.96999696366296,134.78611862558967
1,1.1601005025125628,18.308108584606824,137.32216541187364
1,1.161005025125628,18.65594761574023,139.93117380557348
1,1.1619095477386934,19.013860313481654,142.61574094450677
1,1.1628140703517587,19.38220652429824,145.37856590028187
1,1.1637185929648242,19.761360264761155,148.2224540290728
1,1.1646231155778894,20.151710328221597,151.15032152206547
1,1.1655276381909547,20.553660919411904,154.1652001653593
1,1.16643216080402,20.96763231833991,157.27024231958669
1,1.1673366834170853,21.394061574919036,160.4687261300692
1,1.1682412060301508,21.83340323585082,163.76406097888736
1,1.169145728643216,22.286130105354065,167.1597931908208
1,1.1700502512562814,22.75273404142229,170.65961200577286
1,1.1709547738693467,23.233726789373836,174.26735583091317
1,1.171859296482412,23.729640854557655,177.98701878651224
1,1.1727638190954774,24.241030416171586,181.8227575601449
1,1.1736683417085427,24.76847228425573,185.7788985847342
1,1.174572864321608,25.312566902033986,189.85994555673415
1,1.1754773869346733,25.87393939588837,194.0705873115882
1,1.1763819095477386,26.453240675376804,198.41570607454474
1,1.1772864321608039,27.05114858583242,202.90038610586635
1,1.1781909547738694,27.668369116217434,207.5299227604828
1,1.1790954773869347,28.305637665049332,212.3098319832223
1,1.18,28.96372036737082,217.2458602619089
