subject,lambda_theta,sigma_theta_kPa,sigma_z_kPa,Pi_mmHg
3,1.1298610302082903,60.58897419760686,23.434159729744845,68.21089457562955
3,1.1304676391015351,60.87941549876929,23.496812000990673,68.53787256521206
3,1.13107424799478,61.17241293152273,23.55983607085294,68.86772824045907
3,1.131680856888025,61.46801320838235,23.62323651921374,69.2005141901871
3,1.1322874657812698,61.766264016948156,23.68701798175875,69.53628410096046
3,1.1328940746745149,62.06721404271045,23.75118515074661,69.87509278276539
3,1.1335006835677597,62.3709129924368,23.815742775789325,70.21699619533928
3,1.1341072924610045,62.67741161815982,23.88069566464489,70.56205147517589
3,1.1347139013542495,62.986761741778935,23.94604868402126,70.91031696322199
3,1.1353205102474944,63.2990162802946,24.011806760392236,71.26185223328595
3,1.1359271191407392,63.61422927169377,24.07797488082612,71.61671812117957
3,1.1365337280339842,63.932455901502,24.144558093825957,71.97497675461034
3,1.137140336927229,64.25375253002233,24.211561510182925,72.33669158384689
3,1.1377469458204739,64.57817672028033,24.278990303842292,72.70192741317946
3,1.138353554713719,64.90578726669415,24.346849712782323,73.07075043319652
3,1.1389601636069637,65.236644224489,24.415145039906232,73.44322825389958
3,1.1395667725002088,65.57080893988041,24.48388165394801,73.81942993868333
3,1.1401733813934536,65.90834408104244,24.553064990391277,74.19942603919964
3,1.1407799902866984,66.24931366988824,24.622700552402375,74.58328863113596
3,1.1413865991799435,66.59378311468213,24.692793911777535,74.97109135092998
3,1.1419932080731883,66.94181924350707,24.76335070990369,75.36290943344714
3,1.142599816966433,67.29349033861467,24.83437665873484,75.75881975065182
3,1.1432064258596781,67.64886617167832,24.905877541782406,76.15890085129519
3,1.143813034752923,68.0080180399773,24.97785921512054,76.56323300165117
3,1.1444196436461678,68.37101880353984,25.050327608407425,76.97189822733205
3,1.1450262525394128,68.73794292326806,25.123288725921086,77.38498035620933
3,1.1456328614326576,69.10886650007689,25.19674864761169,77.80256506247625
3,1.1462394703259027,69.48386731507394,25.270713530169374,78.22473991188225
3,1.1468460792191475,69.86302487080962,25.345189608108633,78.65159440817214
3,1.1474526881123923,70.24642043362975,25.420183194868947,79.08322004076655
3,1.1480592970056374,70.63413707716076,25.495700683932522,79.51971033371747
3,1.1486659058988822,71.02625972695989,25.571748549958663,79.96116089597541
3,1.149272514792127,71.42287520636646,25.648333349936067,80.40766947300844
3,1.149879123685372,71.82407228358451,25.72546172435213,80.85933599980784
3,1.1504857325786169,72.22994172003578,25.803140398380492,81.31626265532367
3,1.1510923414718617,72.64057632001905,25.88137618308687,81.77855391837117
3,1.1516989503651067,73.05607098171257,25.960175976653378,82.24631662504913
3,1.1523055592583515,73.47652274955828,26.03954676562112,82.71966002771387
3,1.1529121681515966,73.90203086807135,26.119495626152926,83.19869585555787
3,1.1535187770448414,74.33269683711114,26.200029725314643,83.68353837683372
3,1.1541253859380862,74.76862446866078,26.28115632237644,84.17430446277629
3,1.1547319948313313,75.20991994515745,26.36288277013459,84.671113653271
3,1.155338603724576,75.65669187941751,26.44521651625303,85.17408822431707
3,1.155945212617821,76.1090513762069,26.528165104626254,85.68335325734358
3,1.156551821511066,76.56711209550073,26.61173617676285,86.19903671042674
3,1.1571584304043108,77.03099031748431,26.69593747319089,86.72126949146798
