subject,lambda_theta,sigma_theta_kPa,sigma_z_kPa
1,1.060603015075377,28.944418904490334,21.757588263304704
1,1.0615075376884422,29.27249191155815,21.807539489311715
1,1.0624120603015075,29.603124255171924,21.85760597950695
1,1.0633165829145728,29.936382846228483,21.907792795709213
1,1.0642211055276383,30.272336409156495,21.958105107289384
1,1.0651256281407036,30.611055538805314,22.008548194119115
1,1.0660301507537688,30.95261275924439,22.059127449603526
1,1.0669346733668341,31.29708258454194,22.109848383800365
1,1.0678391959798994,31.64454158159631,22.160716626628332
1,1.0687437185929647,31.995068435095803,22.211737931167452
1,1.0696482412060302,32.348744014685536,22.262918177054402
1,1.0705527638190955,32.705651444422664,22.31426337397558
1,1.0714572864321608,33.06587617460626,22.36577966526135
1,1.072361809045226,33.42950605606856,22.417473331584276
1,1.0732663316582913,33.79663141702098,22.469350794764978
1,1.0741708542713568,34.16734514254914,22.521418621688717
1,1.0750753768844221,34.541742756857445,22.573683528336467
1,1.0759798994974874,34.91992250836635,22.62615238393407
1,1.0768844221105527,35.30198545776881,22.678832215223075
1,1.077788944723618,35.688035569159425,22.731730210857428
1,1.0786934673366835,36.078179804351166,22.784853725929775
1,1.0795979899497488,36.4725282205016,22.838210286631657
1,1.080502512562814,36.871194071174756,22.891807595052057
1,1.0814070351758793,37.27429391096894,22.945653534118385
1,1.0823115577889446,37.681947703847655,22.99975617268486
1,1.0832160804020101,38.09427893531563,23.054123770772883
1,1.0841206030150754,38.51141472858716,23.108764784968248
1,1.0850251256281407,38.93348596490216,23.163687873980574
1,1.085929648241206,39.36062740814846,23.21890190436988
1,1.0868341708542713,39.79297783395854,23.274415956446017
1,1.0877386934673368,40.23068016345424,23.330239330346487
1,1.088643216080402,40.673881601819595,23.38638155229839
1,1.0895477386934673,41.12273378189291,23.442852381070953
1,1.0904522613065326,41.57739291297057,23.49966181462419
1,1.091356783919598,42.038019935031585,23.556820096960966
1,1.0922613065326634,42.50478067859246,23.61433772518844
1,1.0931658291457287,42.97784603041707,23.672225456796376
1,1.094070351758794,43.457392105312564,23.730494317159195
1,1.0949748743718593,43.9436004242514,23.789155607269183
1,1.0958793969849245,44.43665809907327,23.84822091170882
1,1.0967839195979898,44.9367580240271,23.907702106869767
1,1.0976884422110553,45.44409907442858,23.967611369427274
1,1.0985929648241206,45.95888631271637,24.027961185078
1,1.099497487437186,46.481331202206626,24.08876435755053
1,1.1004020100502512,47.0116518288537,24.150034017897593
1,1.1013065326633165,47.550073131341705,24.21178363407924
1,1.102211055276382,48.09682713984468,24.27402702084726
1,1.1031155778894473,48.652153223805996,24.33677834994057
1,1.1040201005025125,49.216298349106204,24.40005216060247
1,1.1049246231155778,49.78951734500035,24.463863370430403
1,1.105829145728643,50.37207318122632,24.528227286569688
1,1.1067336683417084,50.96423725570136,24.593159617263005
1,1.107638190954774,51.566289693241714,24.658676483767614
1,1.1085427135678392,52.178519655760276,24.724794432652946
1,1.1094472361809045,52.80122566441878,24.791530448491848
1,1.1103517587939697,53.43471593422785,24.858901966958584
1,1.111256281407035,54.079308721613884,24.92692688834805
1,1.1121608040201005,54.73533268549396,24.99562359153033
1,1.1130653266331658,55.40312726242171,25.065010948355987
1,1.113969849246231,56.083043056397,25.135108338527633
1,1.1148743718592964,56.77544224395237,25.205935664953717
1,1.1157788944723617,57.48069899516233,25.277513369601778
1,1.1166834170854272,58.19919991124768,25.349862449868013
1,1.1175879396984925,58.93134447947787,25.423004475481896
1,1.1184924623115577,59.67754554610719,25.496961605963946
1,1.119396984924623,60.43822980811139,25.571756608656436
1,1.1203015075376883,61.21383832452848,25.647412877347044
1,1.1212060301507538,62.00482704824503,25.723954451506515
1,1.122110552763819,62.81166737910158,25.80140603616173
1,1.1230150753768844,63.634846739241475,25.879793022427066
1,1.1239195979899497,64.47486917165602,25.959141508716954
1,1.124824120603015,65.33225596293747,26.03947832266434
1,1.1257286432160805,66.20754629128443,26.120831043769734
1,1.1266331658291457,67.10129790086225,26.203228026807174
1,1.127537688442211,68.01408780366923,26.28669842601431
1,1.1284422110552763,68.94651301010808,26.371272220094312
1,1.1293467336683416,69.89919128952745,26.45698023805931
1,1.130251256281407,70.87276196204736,26.543854185945012
1,1.1311557788944724,71.86788672305154,26.631926674428627
1,1.1320603015075377,72.88525050179182,26.72123124738227
1,1.132964824120603,73.9255623556148,26.811802411395856
1,1.1338693467336682,74.98955640139815,26.903675666304842
1,1.1347738693467337,76.0779927858546,26.996887536759246
1,1.135678391959799,77.1916586964397,27.09147560487174
1,1.1365829145728643,78.33136941468989,27.187478543984845
1,1.1374874371859296,79.49796941389039,27.284936153597485
1,1.1383919597989949,80.69233350307772,27.383889395493846
1,1.1392964824120602,81.91536801946866,27.484380431118872
1,1.1402010050251257,83.16801207151147,27.58645266024601
1,1.141105527638191,84.45123883485736,27.690150760984956
1,1.1420100502512562,85.76605690367211,27.79552073117968
1,1.1429145728643215,87.11351169980468,27.902609931247078
1,1.1438190954773868,88.49468694247565,28.01146712851115
1,1.144723618090452,89.9107061812575,28.1221425430872
1,1.1456281407035176,91.36273439526911,28.234687895374897
1,1.1465326633165829,92.85197966163875,28.3491564552198
1,1.1474371859296482,94.3796948964486,28.465603092806116
1,1.1483417085427134,95.94717967152508,28.584084331345956
1,1.1492462311557787,97.55578211060707,28.70465840163198
1,1.1501507537688442,99.20690086860324,28.827385298524902
1,1.1510552763819095,100.90198719782425,28.952326839447792
1,1.1519597989949748,102.6425471052827,29.07954672496437
1,1.15286432160804,104.43014360533974,29.20911060151968
1,1.1537688442211054,106.26639907220735,29.34108612642558
1,1.1546733668341709,108.15299769703232,29.475543035176926
1,1.1555778894472362,110.09168805452494,29.612553211187333
1,1.1564824120603014,112.0842857843561,29.752190758037493
1,1.1573869346733667,114.13267639278907,29.894532074331913
1,1.158291457286432,116.23881818031178,30.03965593126494
1,1.1591959798994975,118.4047453013177,30.187643553000832
1,1.1601005025125628,120.63257096218044,30.33857869997533
1,1.161005025125628,122.92449076442023,30.492547755233595
1,1.1619095477386934,125.28278619996615,30.64963981392102
1,1.1628140703517587,127.70982830590725,30.809946776049912
1,1.1637185929648242,130.2080814864911,30.973563442670255
1,1.1646231155778894,132.780107510527,31.140587615576308
1,1.1655276381909547,135.42856969278776,31.311120200689228
1,1.16643216080402,138.15623726842597,31.48526531525806
1,1.1673366834170853,140.96598996990832,31.663130399030308
1,1.1682412060301508,143.86082281646225,31.844826329548496
1,1.169145728643216,146.8438511265387,32.03046754173485
1,1.1700502512562814,149.91831576437184,32.22017215193505
1,1.1709547738693467,153.08758863226078,32.4140620865963
1,1.171859296482412,156.35517842084926,32.61226321576556
1,1.1727638190954774,159.72473663029638,32.81490549159837
1,1.1736683417085427,163.20006387592903,33.022123092079276
1,1.174572864321608,166.78511649269478,33.23405457016247
1,1.1754773869346733,170.48401345346784,33.45084300854886
1,1.1763819095477386,174.30104361709306,33.672636180326826
1,1.1772864321608039,178.2406733228907,33.899586715712985
1,1.1781909547738694,182.3075543492348,34.13185227513821
1,1.1790954773869347,186.50653225477146,34.36959572893602
1,1.18,190.84265512185598,34.612985343901485
2,1.0,22.495535745538092,9.61122166562654
2,1.0009045226130653,22.66319279357395,9.65454818192472
2,1.0018090452261306,22.831055621789897,9.697862311040872
2,1.002713567839196,22.999133655261986,9.741165390163854
2,1.0036180904522614,23.167436439725837,9.784458766923692
2,1.0045226130653266,23.335973646437992,9.827743799577771
2,1.005427135678392,23.5047550771466,9.871021857199572
2,1.0063316582914572,23.673790669176455,9.914294319870358
2,1.0072361809045227,23.843090500632236,9.957562578873604
2,1.008140703517588,24.01266479572471,10.000828036892367
2,1.0090452261306533,24.18252393022449,10.044092108209634
2,1.0099497487437186,24.35267843704784,10.087356218911586
2,1.0108542713567839,24.523139011979804,10.130621807093972
2,1.0117587939698491,24.693916519539577,10.173890323071621
2,1.0126633165829146,24.865021998993303,10.217163229590977
2,1.01356783919598,25.036466670519836,10.260442002046034
2,1.0144723618090452,25.208261941535163,10.303728128697422
2,1.0153768844221105,25.38041941318104,10.347023110894888
2,1.0162814070351758,25.552950886983883,10.390328463303089
2,1.0171859296482413,25.725868371690346,10.433645714130979
2,1.0180904522613066,25.89918409028558,10.476976405364539
2,1.0189949748743719,26.072910487201323,10.520322093003259
2,1.0198994974874371,26.247060235720085,10.563684347300132
2,1.0208040201005024,26.421646245582895,10.607064753005414
2,1.021708542713568,26.596681670807964,10.650464909614195
2,1.0226130653266332,26.772179917727332,10.693886431617663
2,1.0235175879396985,26.94815465325028,10.737330948758496
2,1.0244221105527638,27.124619813360624,10.780800106290066
2,1.025326633165829,27.301589611857054,10.824295565239794
2,1.0262311557788946,27.479078549344784,10.86781900267656
2,1.0271356783919598,27.657101422487592,10.911372111982349
2,1.0280402010050251,27.835673333530195,10.954956603128243
2,1.0289447236180904,28.01480970009943,10.998574202954627
2,1.0298492462311557,28.194526265295554,11.042226655455961
2,1.030753768844221,28.374839108083144,11.085915722069956
2,1.0316582914572865,28.555764653992846,11.129643181971485
2,1.0325628140703518,28.737319686144748,11.173410832370987
2,1.033467336683417,28.919521356605657,11.21722048881784
2,1.0343718592964823,29.102387198091257,11.261073985508446
2,1.0352763819095476,29.28593513602639,11.304973175599248
2,1.0361809045226131,29.4701835009761,11.34891993152497
2,1.0370854271356784,29.655151041460474,11.392916145321655
2,1.0379899497487437,29.840856937167977,11.436963728955249
2,1.038894472361809,30.027320812580633,11.481064614655287
2,1.0397989949748743,30.214562751026776,11.525220755254047
2,1.0407035175879398,30.40260330917647,11.569434124531261
2,1.041608040201005,30.591463531995572,11.613706717564309
2,1.0425125628140703,30.781164968175748,11.658040551084298
2,1.0434170854271356,30.97172968605673,11.702437663837802
2,1.044321608040201,31.163180290059685,11.746900116954631
2,1.0452261306532664,31.35553993764985,11.791429994321597
2,1.0461306532663317,31.548832356847683,11.836029402962344
2,1.047035175879397,31.74308186430943,11.88070047342366
2,1.0479396984924623,31.93831338399672,11.925445360167867
2,1.0488442211055276,32.13455246645796,11.970266241971977
2,1.049748743718593,32.331825308743475,12.015165322333253
2,1.0506532663316583,32.530158774977735,12.06014482988165
2,1.0515577889447236,32.72958041761353,12.105207018799026
2,1.052462311557789,32.93011849939253,12.1503541692454
2,1.0533668341708542,33.13180201603891,12.195588587792255
2,1.0542713567839195,33.334660719713426,12.240912607863226
2,1.055175879396985,33.53872514325584,12.286328590182006
2,1.0560804020100503,33.744026625245134,12.331838923227876
2,1.0569849246231156,33.950597335908924,12.37744602369893
2,1.0578894472361808,34.15847030391252,12.423152336983014
2,1.0587939698492461,34.367679444061906,12.46896033763672
2,1.0596984924623116,34.578259585954264,12.514872529872358
2,1.060603015075377,34.79024650361207,12.560891448053333
2,1.0615075376884422,35.00367694613819,12.607019657197823
2,1.0624120603015075,35.218588669430034,12.653259753491092
2,1.0633165829145728,35.43502046899352,12.699614364806488
2,1.0642211055276383,35.65301221389855,12.746086151235431
2,1.0651256281407036,35.872604881919095,12.792677805626267
2,1.0660301507537688,36.093840595904226,12.83939205413261
2,1.0669346733668341,36.31676266142602,12.886231656770928
2,1.0678391959798994,36.541415605754246,12.933199407987793
2,1.0687437185929647,36.76784521820839,12.980298137236854
2,1.0696482412060302,36.99609859194057,13.027530709565855
2,1.0705527638190955,37.226224167204066,13.074900026213612
2,1.0714572864321608,37.45827177616608,13.122409025217646
2,1.072361809045226,37.69229268932343,13.170060682032027
2,1.0732663316582913,37.928339663584666,13.217858010156204
2,1.0741708542713568,38.16646699208293,13.265804061774642
2,1.0750753768844221,38.40673055578776,13.313901928407653
2,1.0759798994974874,38.649187876986346,13.362154741573647
2,1.0768844221105527,38.893898174707246,13.41056567346289
2,1.077788944723618,39.14092242216387,13.459137937623138
2,1.0786934673366835,39.390323406296886,13.507874789657317
2,1.0795979899497488,39.64216578949886,13.55677952793338
2,1.080502512562814,39.896516173608234,13.605855494306809
2,1.0814070351758793,40.153443166262065,13.65510607485576
2,1.0823115577889446,40.413017449702345,13.704534700629289
2,1.0832160804020101,40.675311852133774,13.754144848408735
2,1.0841206030150754,40.940401421734975,13.803940041482706
2,1.0850251256281407,41.20836350343062,13.853923850435752
2,1.085929648241206,41.479277818534655,13.904099893951154
2,1.0868341708542713,41.75322654738132,13.95447183962798
2,1.0877386934673368,42.030294415064546,14.005043404812724
