alfa,a1,a2,a3,a4,a5,R2,n_restricciones_activas
2.56,6.377640749073468,2.619264724366641e-32,1.5777218104420236e-30,13.870527705870186,9.475135924743515,0.9778297799916676,2
2.57,6.461977994483909,2.8118577188053643e-32,1.9228484564762163e-30,14.233189797961414,9.777706259191207,0.9780597368253101,2
2.58,6.547392548528412,8.974833540844519e-32,6.310887241768095e-30,14.603952356229586,10.088376841393448,0.9782833837890891,2
2.59,6.633897271772715,2.0029671421627253e-32,5e-324,14.982981159986114,10.407353406342823,0.9785008592349547,2
2.6,6.721505157214318,1.9644485432749806e-32,5e-324,15.370445209255342,10.734846697758716,0.9787122981763119,2
2.61,6.810229331127745,6.880465587749239e-19,2.080536257221951e-17,15.766516785223478,11.071072585756124,0.9789178323752644,2
2.62,6.900083053900602,1.230120916744133e-18,3.065944940427797e-21,16.17137151179425,11.416252187199676,0.9791175904273461,2
2.63,6.991079720859748,2.873191178187628e-20,4.546004282443812e-19,16.585188418270395,11.770611988802543,0.9793116978438204,2
2.64,7.08323286308713,4.024741459106662e-19,2.1663860242763795e-21,17.008150003181683,12.134383973032053,0.9795002771316245,2
2.65,7.176556148224537,7.338801174606528e-17,3.4481985018144745e-17,17.440442299279567,12.507805746883854,0.9796834478710335,2
2.66,7.27106338126679,5.58986837439609e-27,7.888609052210118e-31,17.88225493971999,12.891120673588656,0.9798613267911174,2
2.67,7.36676850534264,2.8429688743500385e-23,2.524354896707238e-28,18.33378122545459,13.284578007317476,0.98003402784306,2
2.68,7.463685602482771,3.339278566663305e-19,5.806161665268697e-22,18.79521819385344,13.688433030950895,0.9802016622714067,2
2.69,7.561828894379447,6.724828691798106e-15,6.47985917076132e-15,19.26676668851862,14.102947197082612,0.9803643386833061,2
2.7,7.661212743603045,6.116649147899272e-19,2.0496423331332872e-16,19.748631424908506,14.528388281216877,0.9805221631158098,2
2.71,7.78262677059164,8.87279925145665e-30,3.446267418808827e-21,19.999999999999996,15.3616582105801,0.9806734311505376,3
2.72,7.927903078052843,6.892209689662905e-25,5.957058268716336e-17,19.999999999999996,16.637735778003474,0.9808070831714247,3
2.73,8.022849320659041,8.310606336264011e-17,0.17775712705806065,19.999999999999996,17.687208142375667,0.9809240583136546,2
2.74,8.083023814657421,3.8679558282678356e-19,0.4807670892670149,19.999999999999996,18.586467019814258,0.98103380158576,2
2.75,8.143510085719587,1.1165472783301417e-17,0.7904918327688578,19.999999999999996,19.507167028386533,0.9811375134202202,2
2.76,8.180845169620817,1.3231909089918065e-29,1.24172860443313,19.999999999999996,19.999999999999996,0.9812328662905895,3
2.77,8.191609618684172,8.75065839719781e-20,1.8542150868396472,19.999999999999996,19.999999999999996,0.9813035521870065,3
2.78,8.201473642960822,3.963237187830363e-27,2.4806995903429017,19.999999999999996,19.999999999999996,0.9813475757916867,3
2.79,8.210404249700924,3.3917872631669124e-22,3.1214821807888047,19.999999999999996,19.999999999999996,0.9813660530332987,3
2.8,8.218367583891032,5.679798517591285e-29,3.7768691383058552,19.999999999999996,19.999999999999996,0.9813600558363903,3
2.81,8.22532890827392,2.9187853493177437e-29,4.447173083422396,19.999999999999996,19.999999999999996,0.9813306138181561,3
2.82,8.231252582932049,2.770873929588804e-29,5.132713105711181,19.999999999999996,19.999999999999996,0.9812787159195697,3
2.83,8.23610204442544,1.717200048249166e-24,5.833814895012595,19.999999999999996,19.999999999999996,0.9812053119734617,3
2.84,8.23983978447469,6.19045401981698e-25,6.550810875286397,19.999999999999996,19.999999999999996,0.9811113142120242,3
2.85,8.242427328179305,2.100004780118999e-22,7.284040341145991,19.999999999999996,19.999999999999996,0.9809975987161198,3
2.86,8.243825211761793,6.560963974223335e-21,8.033849597126707,19.999999999999996,19.999999999999996,0.9808650068086772,3
